id,Distance,Charge,SD,PPV,V,L,T,logD,logW,logSD,W2_D,sqrtW,ratio_VL,ratio_VT,ratio_LT,dominant,anomalous,sd_quartile,AF_V,AF_L,AF_T,hp_pred_resultant
1,300,1850.0,6.97,189.46,110.5,109.45,108.2,2.4771212547196626,3.2671717284030137,0.8432327780980093,11408.333333333334,43.01162633521314,1.0095934216537232,1.021256931608133,1.0115526802218116,V,1,0,0.5338914033084751,0.5288182270779421,0.5227787315654028,206.9709295097127
2,350,1850.0,8.14,149.16,86.25,85.95,86.15,2.544068044350276,3.2671717284030137,0.9106244048892012,9778.57142857143,43.01162633521314,1.0034904013961603,1.0011607661056297,0.9976784677887406,V,1,0,0.5153258568834204,0.5135334191203476,0.5147283776290628,167.36982794075462
3,400,1875.0,9.24,122.17,70.45,71.25,69.65,2.6020599913279625,3.2730012720637376,0.9656719712201068,8789.0625,43.30127018922193,0.9887719298245614,1.01148600143575,1.0229720028715004,L,1,0,0.5006588841145599,0.5063441517837104,0.4949736164454096,140.71457080921337
4,450,1950.0,10.2,104.3,60.2,60.35,60.1,2.6532125137753435,3.290034611362518,1.0086001717619175,8450.0,44.15880433163923,0.9975144987572494,1.0016638935108153,1.0041597337770385,L,1,0,0.4897889198170725,0.491009324102331,0.4889753169602335,122.91008955956708
5,500,1950.0,11.32,87.1,50.9,50.2,49.75,2.6989700043360187,3.290034611362518,1.0538464268522527,7605.0,44.15880433163923,1.0139442231075697,1.0231155778894472,1.0090452261306533,V,1,0,0.47758895218169795,0.4710209312283151,0.4667986320439975,106.57700469720073
6,550,1950.0,12.46,75.46,43.7,43.85,43.15,2.740362689494244,3.290034611362518,1.0955180423231508,6913.636363636364,44.15880433163923,0.9965792474344356,1.0127462340672075,1.0162224797219004,L,1,0,0.46757329565604655,0.46917823831848143,0.461688505893785,93.46128276783868
7,600,1950.0,13.59,68.68,39.5,40.5,38.95,2.7781512503836434,3.290034611362518,1.1332194567324942,6337.5,44.15880433163923,0.9753086419753086,1.0141206675224643,1.0397946084724004,L,1,1,0.4759523921213345,0.4880018197699759,0.4693252069145818,82.99149380035108
8,650,1875.0,15.01,56.32,32.35,32.75,32.45,2.812913356642856,3.2730012720637376,1.1763806922432705,5408.653846153846,43.30127018922193,0.9877862595419848,0.9969183359013868,1.0092449922958395,L,1,1,0.44659223765823547,0.45211424368801273,0.4479727391656798,72.43744353827428
9,700,1875.0,16.17,48.74,28.8,27.5,28.1,2.845098040014257,3.2730012720637376,1.2087100199064011,5022.321428571428,43.30127018922193,1.0472727272727274,1.0249110320284698,0.9786476868327402,V,1,1,0.4402255967146366,0.4203543024184898,0.42952566901671146,65.42100281067654
10,750,1875.0,17.32,43.62,25.75,24.95,24.85,2.8750612633917,3.2730012720637376,1.2385478876813278,4687.5,43.30127018922193,1.032064128256513,1.0362173038229376,1.004024144869215,V,1,1,0.4324104114875092,0.4189763016160526,0.4172970378821205,59.54990748585115
11,800,1912.5,18.29,40.48,23.6,22.65,23.85,2.903089986991944,3.281601443825655,1.2622137054764169,4572.0703125,43.73213921133976,1.0419426048565124,0.989517819706499,0.9496855345911948,T,1,1,0.4269922082408326,0.4098039625701211,0.4315154307857567,55.27032939835076
12,850,1912.5,19.44,36.69,21.45,21.15,20.95,2.929418925714293,3.281601443825655,1.288696260590256,4303.125,43.73213921133976,1.0141843971631206,1.0238663484486874,1.009546539379475,V,1,1,0.4218706077174603,0.4159703194976357,0.4120367940177526,50.84497380857052
13,900,1912.5,20.58,33.81,19.55,19.15,19.85,2.9542425094393248,3.281601443825655,1.3134453704264142,4064.0625,43.73213921133976,1.02088772845953,0.9848866498740554,0.964735516372796,T,1,2,0.41569075464917854,0.40718557296837693,0.4220696409097798,47.0301535007657
14,950,1900.0,21.79,31.23,17.85,18.95,17.25,2.977723605288848,3.278753600952829,1.3382572302462556,3800.0,43.58898943540674,0.941952506596306,1.0347826086956522,1.098550724637681,L,1,2,0.41041132429781607,0.43570277845622485,0.3966159856659567,43.492951931918675
15,1000,1875.0,23.09,28.21,16.25,16.85,15.75,3.0,3.2730012720637376,1.3634239329171765,3515.625,43.30127018922193,0.9643916913946586,1.031746031746032,1.06984126984127,L,1,2,0.4044619112107545,0.4193958894708439,0.39201692932734666,40.176836309148904
16,1050,2950.0,19.33,36.7,21.65,20.75,21.15,3.0211892990699383,3.469822015978163,1.286231854028553,8288.095238095239,54.31390245600108,1.0433734939759036,1.0236406619385343,0.9810874704491728,V,1,1,0.4225100910509646,0.4049461611689384,0.4127523522276167,51.241379693789376
17,1100,1800.0,25.93,22.98,13.5,13.05,13.25,3.041392685158225,3.255272505103306,1.4138025167693515,2945.454545454545,42.42640687119285,1.0344827586206895,1.018867924528302,0.9849056603773584,V,1,2,0.3938276126058491,0.38070002551898746,0.38653450866870376,34.278957513096174
18,1150,2750.0,21.93,30.99,17.65,18.75,17.25,3.060697840353612,3.439332693830263,1.341038631677523,6576.086956521739,52.44044240850758,0.9413333333333332,1.0231884057971017,1.0869565217391304,L,1,2,0.40938549480561737,0.4348996049634746,0.4001076365663966,43.113398554534754
