Target,Model,R2,RMSE,MAE,CV_RMSE_mean,CV_RMSE_std
Resultant,XGBoost,0.7471,22.7415,16.9532,25.8674,2.6361
Resultant,SVR,0.8011,20.1704,15.0157,25.3063,1.5799
Resultant,RandomForest,0.7532,22.4674,17.0977,27.9732,2.7353
Vertical,XGBoost,0.7784,12.4689,9.3756,14.9092,1.5569
Vertical,SVR,0.8182,11.2933,8.3671,14.5216,1.0573
Vertical,RandomForest,0.7761,12.5332,9.4118,16.1307,1.6431
Longitudinal,XGBoost,0.7767,12.5124,9.5871,14.9852,1.5524
Longitudinal,SVR,0.8197,11.2414,8.4139,14.4983,1.069
Longitudinal,RandomForest,0.7763,12.524,9.4911,16.2031,1.7373
Transverse,XGBoost,0.7961,11.9353,9.3321,15.0144,1.1336
Transverse,SVR,0.8181,11.2731,8.361,14.6222,1.014
Transverse,RandomForest,0.7713,12.6419,9.4722,16.1907,1.6303
